created_at,text,links,@person
2015-06-15,Removing the 140 character limit from Direct Messages https://t.co/h0I2M3P2vm,https://t.co/h0I2M3P2vm,
2015-05-28,Quoted status objects and the API https://t.co/PpjnlQEk5F,https://t.co/PpjnlQEk5F,
2015-05-28,RT @TwitterDev: Excited for #io15? We're celebrating by open sourcing Twitter Kit and Digits for #Android! https://t.co/WgN3nwk0F9 http://t…,https://t.co/WgN3nwk0F9,@TwitterDev
2015-05-21,RT @TwitterDev: We are excited to announce that the REST API now supports native video upload. https://t.co/cWUrgjh8wz http://t.co/yaenTQE9…,https://t.co/cWUrgjh8wz,@TwitterDev
2015-04-21,API updates for Direct Message options https://t.co/RXjGMkCbbi,https://t.co/RXjGMkCbbi,
2015-02-02,Potential adjustment to public Streaming API volumes https://t.co/kQhoIWGoyZ - always intended to be 1% of current Tweet levels.,https://t.co/kQhoIWGoyZ,
2015-01-28,We're aware of reports that media entities are limited in the Streaming API at the moment and are investigating. https://t.co/rZMFMANtLD,https://t.co/rZMFMANtLD,
2015-01-27,Native video support in REST and Streaming API https://t.co/VrFm1qGZnF,https://t.co/VrFm1qGZnF,
2015-01-21,Adding a new social event to the Streaming API - retweet has been retweeted https://t.co/qmIF7W9Iyl,https://t.co/qmIF7W9Iyl,
2015-01-07,Announcing the addition of animated GIFs to JSON payloads for REST and Streaming APIs https://t.co/O9eWzMPay7,https://t.co/O9eWzMPay7,
2015-01-07,RT @TwitterDev: Jumpstart your Twitter integration by checking out @twitterdev on Github https://t.co/quFH80JSdu http://t.co/qiZraIhIOx,https://t.co/quFH80JSdu,@TwitterDev@twitterdev
2014-12-04,Deprecation of the account/update_profile_colors endpoint https://t.co/Fk6AlAHKXw,https://t.co/Fk6AlAHKXw,
2014-12-04,Announcing some upcoming changes to the Lists API https://t.co/H3HHbnk8NX,https://t.co/H3HHbnk8NX,
2014-10-22,We've published updated Developer Policy and Agreement documents today - announcement on our forums https://t.co/TS3nKGCrea,https://t.co/TS3nKGCrea,
2014-10-22,Announcing @fabric: The easiest way to make the best apps https://t.co/TmEGvIskQ1,https://t.co/TmEGvIskQ1,@fabric
2014-09-25,The OAuth / xAuth issue affecting REST endpoints has been resolved. Please visit our OAuth forums for support https://t.co/XiKCrlfCNX,https://t.co/XiKCrlfCNX,
2014-07-16,"RT @TwitterDev: Now available, Answers by Crashlytics. Gain insight into your app’s usage. Learn more and get started. https://t.co/t35pKS1…",https://t.co/t35pKS1…,@TwitterDev
2014-06-23,Goal! Detecting the most important World Cup moments https://t.co/D6SEk3EwYR,https://t.co/D6SEk3EwYR,
2014-05-29,"Now available, Beta by Crashlytics.  Invite and manage testers for your apps. https://t.co/qcmMuq8XrZ",https://t.co/qcmMuq8XrZ,
2014-05-22,On May 28th PDT (UTC-7) we will launch support for composing tweets with multiple images via the REST API. Details: https://t.co/XB1rnLfFmo,https://t.co/XB1rnLfFmo,
2014-05-21,RT @TwitterDev: Developer Spotlight: Botanicalls via @jbulava  https://t.co/EtJEF3XFOt,https://t.co/EtJEF3XFOt,@TwitterDev@jbulava
2014-05-16,Forthcoming tweak to streaming API error codes from June https://t.co/HbQsmbkLmQ,https://t.co/HbQsmbkLmQ,
2014-05-13,Twitter Developer Events: May 2014 https://t.co/Y8RUKLcWt1,https://t.co/Y8RUKLcWt1,
2014-05-12,Now you can mute users on Twitter https://t.co/zGBgt5LOJd - here are the new API endpoints https://t.co/wC2AXYBuRI,https://t.co/zGBgt5LOJd,
2014-05-08,RT @TwitterDev: Issue fixed: tokens not updating on http://t.co/tBJddtCUwN now resolved.  https://t.co/gRCkuEhmDu updated with status (clos…,https://t.co/gRCkuEhmDu,@TwitterDev
2014-05-08,Current known issue: tokens not updating on https://t.co/a1dP2K07jK. We are actively working on a fix. https://t.co/xo6ys3L7Xu for updates.,https://t.co/a1dP2K07jK.,
2014-05-07,Bootstrapping Sign in with Twitter https://t.co/4i7QRWpe5L,https://t.co/4i7QRWpe5L,
2014-05-06,"Delivering great video and audio on Twitter, made simple https://t.co/7tXX5q3wPQ",https://t.co/7tXX5q3wPQ,
2014-05-01,Learn how to monetize your mobile apps using MoPub native ads. https://t.co/VLSGPYq6UP,https://t.co/VLSGPYq6UP,
2014-04-24,RT @TwitterDev: New REST API endpoint for bulk lookup of Tweets by ID -  https://t.co/NsOjHvCgbL.,https://t.co/NsOjHvCgbL.,@TwitterDev
2014-04-15,"We have agreed to acquire @gnip, welcome to the flock! https://t.co/fXrE36fjPZ",https://t.co/fXrE36fjPZ,@gnip
2014-04-07,"X-Connection-Hash to replace X-Transaction header for debugging streaming API issues, starting April 14. Read more: https://t.co/aiWEKiuXmn",https://t.co/aiWEKiuXmn,
2014-04-07,User &amp; Site Streams bug fix when user @-mentioned by protected account rolling out April 8-9. Read more: https://t.co/tt9aAT4IEC,https://t.co/tt9aAT4IEC,
2014-04-03,Twitter Developer Events: April 2014 https://t.co/FEozay7PTN,https://t.co/FEozay7PTN,
2014-04-03,Expect rollout of backend changes to streaming endpoints to take several more days. Read more: https://t.co/2JSqxMfYFI,https://t.co/2JSqxMfYFI,
2014-03-31,"Reminder: Backend changes to streaming endpoints begin rolling out tomorrow, April 1. Read more: https://t.co/2JSqxMfYFI",https://t.co/2JSqxMfYFI,
2014-03-27,RT @TwitterDev: Streaming API will be ""replaying"" some Tweets starting at 1PM (Pacific) today. https://t.co/YkpeBC8ixZ,https://t.co/YkpeBC8ixZ,@TwitterDev
2014-03-27,"User &amp; Site Streams getting some updates and fixes, rolled out in two phases, April 8-9 and April 29-30. Read more: https://t.co/HVmA0ynHRD",https://t.co/HVmA0ynHRD,
2014-03-19,April 1-2: some streaming endpoints getting backend upgrades that will potentially affect bandwidth. Read more: https://t.co/2JSqxMfYFI,https://t.co/2JSqxMfYFI,
2014-03-19,"RT @TwitterOSS: hosebird client (hbc) v2.0 released by @kevino and team, check out the new release notes https://t.co/l0jkFgvLMZ",https://t.co/l0jkFgvLMZ,@TwitterOSS@kevino
2014-03-11,"Broadcasting the voices of WordPress users, one Tweet at a time https://t.co/XCkAskpXVB",https://t.co/XCkAskpXVB,
2014-02-06,Twitter Data Grants: A pilot program to give researchers access to public and historical data. Learn more https://t.co/KeI2YtGAdi,https://t.co/KeI2YtGAdi,
2014-02-04,How eBay uses Cards and Twitter Card analytics: https://t.co/b7cxO0RrMp,https://t.co/b7cxO0RrMp,
2014-01-23,Introducing analytics for Twitter Cards: https://t.co/2EUxRISD2a,https://t.co/2EUxRISD2a,
2014-01-13,"Tomorrow (Jan 14, 2014) all requests to http://t.co/JJ1WIaJkjK will be restricted to SSL only. Read more: https://t.co/5bffaNC1i5",https://t.co/5bffaNC1i5,
2014-01-10,"Important: On Jan 14, 2014 all requests to http://t.co/JJ1WIaJkjK will require SSL &amp; disallow plaintext connections https://t.co/5bffaNC1i5",https://t.co/5bffaNC1i5,
2014-01-06,"Update: We are removing HTTP 1.0 support for the remaining Streaming API endpoints on Mon., Jan. 13. More details: https://t.co/JfieFem8Kf",https://t.co/JfieFem8Kf,
2014-01-06,"Note: A ""blackout test"" will be performed tmw btw 11am-1pm PST, and HTTP plaintext connections will be unavailable. https://t.co/5bffaNC1i5",https://t.co/5bffaNC1i5,
2014-01-06,Reminder: We are deploying a fix to Tweet Entities for Retweets today. Read more about the change: https://t.co/GMIk4lnXjs,https://t.co/GMIk4lnXjs,
2013-12-17,"If a user has granted your app direct message read access, OAuth can be used to display any uploaded media: https://t.co/BIjdJ8J637",https://t.co/BIjdJ8J637,
2013-12-16,"Important: On Jan 14, 2014 all requests to http://t.co/JJ1WIaJkjK will require SSL &amp; disallow plaintext connections. https://t.co/5bffaNC1i5",https://t.co/5bffaNC1i5,
2013-12-10,We upgraded the SSL certificate on http://t.co/JJ1WIaJkjK today as planned. More info on this G3 certificate here: https://t.co/V4K1qHVZe9,https://t.co/V4K1qHVZe9,
2013-12-10,Unicode spaces (not only ASCII spaces) are now word separators while tracking keywords with statuses/filter. Try it: https://t.co/hUMpNCWmyi,https://t.co/hUMpNCWmyi,
2013-12-02,"We'll be testing a new SSL certificate on http://t.co/JJ1WIaJkjK tomorrow (2013-12-03), from ~19:30 to ~21:00 UTC: https://t.co/QIs9anpNC3",https://t.co/QIs9anpNC3,
2013-12-02,Hi developers! This is a reminder that we're retiring the POST geo/place API method today. Details: https://t.co/AM6JPnFzjz,https://t.co/AM6JPnFzjz,
2013-11-25,Twitter List IDs will become 64-bit integers in early 2014 https://t.co/hGtdhrXLFe,https://t.co/hGtdhrXLFe,
2013-11-19,"The Twitter REST API's SSL certificates will update on Dec 10th, 2013. More information: https://t.co/V4K1qHVZe9",https://t.co/V4K1qHVZe9,
2013-11-12,"Introducing custom timelines, a new type of timeline that you control. https://t.co/r7Yf2ufCbn",https://t.co/r7Yf2ufCbn,
2013-11-05,"Here are some tips on integrating Twitter Cards with popular content tools like @WordPress, @Blogger, and @tumblr: https://t.co/obIuXMUyIn",https://t.co/obIuXMUyIn,@WordPress@Blogger@tumblr
2013-10-30,"We're rectifying a long-standing quirk with entities in retweet objects on Jan 6, 2014: https://t.co/GMIk4lnXjs",https://t.co/GMIk4lnXjs,
2013-10-28,"The v1.1 REST API's POST geo/place method is being deprecated &amp; will retire on Dec 2nd, 2013. Read more: https://t.co/AM6JPnFzjz",https://t.co/AM6JPnFzjz,
2013-10-24,@ParkInnBelfast you should contact @support through https://t.co/efeRNOI8qk,https://t.co/efeRNOI8qk,@ParkInnBelfast@support
2013-10-21,"Effective today, all new Twitter user IDs will exceed the threshold for 32-bit integers. Read more: https://t.co/v9TtlwuWzb",https://t.co/v9TtlwuWzb,
2013-10-07,Reminder: Twitter User IDs will become 64-bit integers soon. Make sure your software &amp; infrastructure are prepared. https://t.co/r5MTaLVAWA,https://t.co/r5MTaLVAWA,
2013-09-26,"Today, Twitter is updating embedded Tweets to enable a richer photo experience: https://t.co/XdXRudPXH5",https://t.co/XdXRudPXH5,
2013-09-24,"For DMs in User and Site Streams, we're phasing out perspectival attributes. Read more: https://t.co/Tq3eMHP86c",https://t.co/Tq3eMHP86c,
2013-08-30,"Our platform relations team is growing! Please welcome @rchoi, @logicalarthur, and @lfcipriani. We're still hiring: https://t.co/G5KWYx42Y4",https://t.co/G5KWYx42Y4,@rchoi@logicalarthur@lfcipriani
2013-08-28,"Announcing two accounts with user IDs &gt; 32 bits, for testing https://t.co/r5MTaLVAWA",https://t.co/r5MTaLVAWA,
2013-08-27,String representations for lists of user IDs in connection preambles are now available in User and Site Steams APIs https://t.co/GMtL8dEGNr,https://t.co/GMtL8dEGNr,
2013-08-19,Introducing Twitter Headlines for Embedded Tweets: https://t.co/pGWYU9Qrty,https://t.co/pGWYU9Qrty,
2013-07-08,We have updated our Player Cards guidelines. Quick overview and discussion in our developer forums: https://t.co/wt5oLZROQ6.,https://t.co/wt5oLZROQ6.,
2013-07-03,"Updated Rules of the Road &amp; Display Requirements: more clarity, based on your feedback. Read more in our dev forum: https://t.co/zhQERtpMmT",https://t.co/zhQERtpMmT,
2013-06-11,Thanks everyone! API v1 Retirement is complete. Please use API v1.1 instead. https://t.co/SIzTAymJPW,https://t.co/SIzTAymJPW,
2013-06-11,"The retirement of API v1 continues. Most inbound requests should now see HTTP 410, including to the old Search API. https://t.co/WyWlFwutwb",https://t.co/WyWlFwutwb,
2013-06-11,"If you were using a legacy widget that no longer functions after API v1 retirement, we suggest using https://t.co/QOpRs58lAk instead.",https://t.co/QOpRs58lAk,
2013-06-11,Looking for a library that supports API v1.1? Check out https://t.co/mTbGZ5wlPb,https://t.co/mTbGZ5wlPb,
2013-06-11,We will begin 410ing inbound API v1 traffic now. We will gradually ramp up over the next several minutes. More info: https://t.co/WyWlFwutwb,https://t.co/WyWlFwutwb,
2013-06-11,"API v1 Retirement will happen today, beginning sometime after 1:30PM PDT. We'll tweet as we ramp up. What to expect: https://t.co/WyWlFwutwb",https://t.co/WyWlFwutwb,
2013-06-11,"Embedded Timelines now allow for dynamic, client-side selection of users and lists. Details from @benward: https://t.co/Aqd9bPPKTt",https://t.co/Aqd9bPPKTt,@benward
2013-05-30,The Twitter Certified Products Program expands to include 11 additional products https://t.co/gAkA9XhAda,https://t.co/gAkA9XhAda,
2013-05-22,"API v1 blackout testing is just about complete. API v1 will retire permanently on June 11, 2013. Upgrade to 1.1: https://t.co/zQjaRCjQWO",https://t.co/zQjaRCjQWO,
2013-05-22,API v1 blackout testing is currently underway. See https://t.co/D7EBX18HIG for details.,https://t.co/D7EBX18HIG,
2013-05-22,We'll begin API v1 blackout testing shortly. See https://t.co/D7EBX18HIG to know what to expect. We'll tweet as it begins.,https://t.co/D7EBX18HIG,
2013-05-17,"We'll be performing additional API v1 Blackout Testing on May 22, 2013 at 20:00 UTC. https://t.co/f1GP88yGnZ",https://t.co/f1GP88yGnZ,
2013-05-13,We have deprecated HTTP 1.0 support for the Streaming API: https://t.co/JfieFem8Kf,https://t.co/JfieFem8Kf,
2013-05-03,"We're extending API v1 Retirement until June 11, 2013. https://t.co/Nb7PJrnZvx",https://t.co/Nb7PJrnZvx,
2013-05-02,"New configuration options for Embedded Timelines: disable scrollbars, limit # of tweets, more control over loading: https://t.co/R15FIitZoI",https://t.co/R15FIitZoI,
2013-04-23,A @twitterapi Recap of the First Quarter of 2013 https://t.co/tUO3efCB1O,https://t.co/tUO3efCB1O,@twitterapi
2013-04-16,We're wrapping blackout testing for today. Requests to API v1 will resume full fidelity soon. Detail: https://t.co/4h1nOIJYJ4,https://t.co/4h1nOIJYJ4,
2013-04-16,Blackout Testing has begun. A gradually increasing number of API v1 calls will be responded to with HTTP 410 Gone. https://t.co/4h1nOIJYJ4,https://t.co/4h1nOIJYJ4,
2013-04-16,API v1 blackout testing will gradually begin in ten minutes or so. More information: https://t.co/4h1nOIJYJ4,https://t.co/4h1nOIJYJ4,
2013-04-16,"Reminder: API v1 Blackout Testing continues on Tuesday, April 16 2013 beginning at 23:00 UTC (4:00pm PDT)  https://t.co/4h1nOIJYJ4",https://t.co/4h1nOIJYJ4,
2013-04-12,Announcing new symbols entities for Tweets: https://t.co/RJDIKmj7zw,https://t.co/RJDIKmj7zw,
2013-04-05,Requirements for OAuth 1.0A spec compliance tightened. Always use explicit callbacks &amp; verifiers. Discussion: https://t.co/W8OpCeUgrH,https://t.co/W8OpCeUgrH,
2013-04-03,Deep linking in mobile applications and new kinds of Twitter Cards https://t.co/NodgYxqElO ^TS,https://t.co/NodgYxqElO,
2013-03-29,"API v1's retirement will occur on May 7th, 2013. Additional blackout testing on April 16. More details: https://t.co/4h1nOIJYJ4 ^TS",https://t.co/4h1nOIJYJ4,
2013-03-29,Announcing a new lists/ownerships method in 1.1: https://t.co/WSNP67jR2e ^ARK,https://t.co/WSNP67jR2e,
2013-03-26,"The lang attr is now on Streaming &amp; REST as announced in https://t.co/zdgxk4kTx9 Also, the language filter is enabled for Streaming ^ARK",https://t.co/zdgxk4kTx9,
2013-03-26,"Embedded Timelines update: Simplified configuration, better dev environment support, &amp; more customization options https://t.co/4dYIxcXcbP",https://t.co/4dYIxcXcbP,
2013-03-25,"Please join us at Twitter HQ on 4/2 for a special platform event, where we'll be discussing new features: https://t.co/IKC4pMuMxa  ^JC",https://t.co/IKC4pMuMxa,
2013-03-20,The blackout test will begin in around 5 minutes. API v1 requests will begin receiving HTTP 410 Gone. https://t.co/niJLXKjKYX ^TS,https://t.co/niJLXKjKYX,
2013-03-20,Blackout test today on the retiring REST API v1 from 3PM to 4PM PST. Expect many tweets about it throughout. https://t.co/niJLXKjKYX ^TS,https://t.co/niJLXKjKYX,
2013-03-18,"Reminder: API v1 Blackout Testing on Wed, March 20th at 10PM-11PM UTC (3PM-4PM PST, 7AM-8AM JST). More info: https://t.co/niJLXKjKYX ^TS",https://t.co/niJLXKjKYX,
2013-03-15,Improved customization options for Embedded Timelines https://t.co/GQav6da3WC,https://t.co/GQav6da3WC,
2013-03-15,A pair of small technical changes to Site and User Streams: https://t.co/YQKnbdWfXc ^ARK,https://t.co/YQKnbdWfXc,
2013-03-13,"API v1 Retirement Update: OEmbed, Streaming API, and a blackout test on March 20, 2013 https://t.co/niJLXKjKYX ^TS",https://t.co/niJLXKjKYX,
2013-03-11,Introducing application-only authentication for the Twitter REST API v1.1 https://t.co/BrLLpVyuCe ^TS,https://t.co/BrLLpVyuCe,
2013-03-05,"As announced, @anywhere has been retired per https://t.co/bWXjhurvwp The js file now logs a message to the console and exits quietly. ^ARK",https://t.co/bWXjhurvwp,@anywhere
2013-03-05,"Thanks for hanging in there everyone! For more information about the API v1 Retirement Plan, see https://t.co/iE4QLDSm6n ^TS",https://t.co/iE4QLDSm6n,
2013-03-05,Notice unauthenticated requests or old widgets not working right now? We're performing blackout tests on API v1.1. https://t.co/iE4QLDSm6n,https://t.co/iE4QLDSm6n,
2013-03-05,The blackout test on unauthenticated calls is beginning now. It will take a few minutes to be totally in effect. https://t.co/iE4QLDSm6n ^TS,https://t.co/iE4QLDSm6n,
2013-03-05,"Today at ~9am PST, the first API v1 blackout test on unauthenticated traffic, legacy widgets, RSS &amp; ATOM begins https://t.co/iE4QLDSm6n ^TS",https://t.co/iE4QLDSm6n,
2013-03-01,Changes to the 'Sign in with Twitter' flow https://t.co/JVS2WNDOuQ ^TS,https://t.co/JVS2WNDOuQ,
2013-02-28,We've just open-sourced a Java client library for accessing the Streaming APIs: https://t.co/lyzpBdvAKu ^ARK,https://t.co/lyzpBdvAKu,
2013-02-21,Streaming API consumers should now notice the ""filter_level"" attribute we announced last week. https://t.co/zdgxk4kTx9 ^TS,https://t.co/zdgxk4kTx9,
2013-02-21,You'll find that /1.1/lists/statuses is now rate limited at 180 requests per 15 minutes per user. https://t.co/GuWmh5dsA8 ^TS,https://t.co/GuWmh5dsA8,
2013-02-20,A friendly reminder that this t.co length change is fully going into effect today: https://t.co/nqvYxZAk  ^JC,https://t.co/nqvYxZAk,
2013-02-14,RT @rsarver: Excited to open our first two international roles for the @twitterapi team - UK and Brazil https://t.co/m0jsG9S9 https://t. ...,https://t.co/m0jsG9S9,@rsarver@twitterapi
2013-02-13,Introducing new metadata for Tweets https://t.co/gOys7wgr ^ARK,https://t.co/gOys7wgr,
2013-02-06,"A friendly reminder that this t.co length change will start today, and be in full effect by 2/20 https://t.co/nqvYxZAk   ^JC",https://t.co/nqvYxZAk,
2013-02-05,Key information on the upcoming retirement of API v1: https://t.co/5uRb3oe7 ^TS,https://t.co/5uRb3oe7,
2013-01-25,Looking for a replacement for v1's friendships/no_retweet_ids? v1.1 now has an equivalent: https://t.co/gILO7b0U ^TS,https://t.co/gILO7b0U,
2013-01-22,We expect our user IDs to exceed the signed 32-bit boundary sometime this year.  Time to move to 64-bit: https://t.co/U3zYCnOR ^ARK,https://t.co/U3zYCnOR,
2013-01-22,We've made some changes to Embedded Tweets - we hope you like them!  ^JC   https://t.co/Qrb7KFhX,https://t.co/Qrb7KFhX,
2013-01-17,"@foetusite minutes after tweeting, a developer was kind enough to submit one: https://t.co/8qkLwLuW ^TS",https://t.co/8qkLwLuW,@foetusite
2013-01-17,We're now collecting 1.1-compatible libraries &amp; tools here: https://t.co/h0otBwzl Have a submission or update? https://t.co/SxbGRs5V ^TS,https://t.co/h0otBwzl,
2012-12-06,Important - t.co will soon be changing in length: https://t.co/nqvYxZAk   ^JC,https://t.co/nqvYxZAk,
2012-12-05,""@urbandictionary grows daily followers 6.5x by implementing the Follow Button"" - https://t.co/oisy5Rlu   ^JC,https://t.co/oisy5Rlu,@urbandictionary
2012-12-03,We now have a page which tracks upcoming and recent changes to the platform: https://t.co/3gMjdnBp ^ARK,https://t.co/3gMjdnBp,
2012-12-03,We're extending the deprecation period for @Anywhere to align with API v1's retirement in March 2013. https://t.co/ybnvlErk ^TS,https://t.co/ybnvlErk,@Anywhere
2012-11-29,Two new methods in API v1.1 provide simplified access to user friend &amp; follower data: https://t.co/vPja8oUs https://t.co/AKvLCan2 ^TS,https://t.co/vPja8oUs,
2012-11-26,"Please use the new #TwitterCards thread for help with your implementation - Twitter Cards: I have a problem, help me! https://t.co/jvJPyE3I",https://t.co/jvJPyE3I,
2012-11-09,"The ability to upload, remove, and retrieve profile banner images is now available for API v1.1. https://t.co/MtuaToSo ^TS",https://t.co/MtuaToSo,
2012-11-08,The issue we reported earlier with Embeddable Timelines has been resolved. https://t.co/pDyHa1kX ^JC,https://t.co/pDyHa1kX,
2012-11-08,"We're currently experiencing an issue with Embeddable Timelines, and are working to resolve this - https://t.co/pDyHa1kX  ^JC",https://t.co/pDyHa1kX,
2012-11-02,Special permission is no longer required to utilize the Reverse Auth feature for iOS5+ applications: https://t.co/I4GcGxu7 ^TS,https://t.co/I4GcGxu7,
2012-10-30,"Better late than never, statuses/retweets_of_me is joining the API v1.1 method roster: https://t.co/jYz3MJnb ^TS",https://t.co/jYz3MJnb,
2012-10-25,"We're now serving entities in streamed favorite/unfavorite events, DMs to follow: https://t.co/5zns2ARr ^ARK",https://t.co/5zns2ARr,
2012-10-25,We will update the expiring sitestreams SSL certificate as early as next week: https://t.co/CeF9McRY ^ARK,https://t.co/CeF9McRY,
2012-10-24,We're making a change to withheld content fields in the API (correction: currently affects 1 account): https://t.co/IfoJHFEr … ^ARK,https://t.co/IfoJHFEr,
2012-10-18,Twitter Office Hours for Newsrooms coming to New York https://t.co/lcWVXPBA ^TS,https://t.co/lcWVXPBA,
2012-10-16,We plan to default cursoring on API v1.1's blocks/ids and blocks/list methods around 10:30 AM Pacific today https://t.co/igvDAx9C ^TS,https://t.co/igvDAx9C,
2012-10-10,Trouble connecting? Verify your URLs are correct. Unversioned URLs such as http://t.co/ueX6aSrb are invalid. See https://t.co/JSEOjfe8 ^TS,https://t.co/JSEOjfe8,
2012-10-09,The API housekeeping that we've previously discussed is starting today - including the sunset of public timeline: https://t.co/JSEOjfe8  ^JC,https://t.co/JSEOjfe8,
2012-10-08,We'd like to change API v1.1's blocks/ids &amp; blocks/list to be cursored by default next week; read more: https://t.co/igvDAx9C ^TS,https://t.co/igvDAx9C,
2012-10-02,Help users express themselves with programmatic upload &amp; retrieval of profile banners. https://t.co/Wfdscu9S ^TS,https://t.co/Wfdscu9S,
2012-09-10,Following up on API housekeeping https://t.co/JSEOjfe8 ^ARK,https://t.co/JSEOjfe8,
2012-09-06,Sunsetting @Anywhere - https://t.co/Y6vzr7Tn   ^JC,https://t.co/Y6vzr7Tn,@Anywhere
2012-09-05,Current status: API v1.1 - https://t.co/M9xZk3tl   ^JC,https://t.co/M9xZk3tl,
2012-09-05,We just launched embeddable Timelines for your website. Learn more here: https://t.co/rI9sEQJX,https://t.co/rI9sEQJX,
2012-08-29,Introducing the Twitter Certified Products Program: https://t.co/MjJ8xAnT,https://t.co/MjJ8xAnT,
2012-08-25,We are working to resolve issues with application management &amp; logging in to the dev portal: https://t.co/p5bOzH0k ^TS,https://t.co/p5bOzH0k,
2012-08-24,@ManoDestra best to reach out to @support about site and account issues: https://t.co/Jj37AhE8 ^TS,https://t.co/Jj37AhE8,@ManoDestra@support
